sweep_var,type,mic_total_time,seq_total_time,speedup,mic_compute_util,seq_compute_util
4,macs,11813780,11813627,1.000012951145317,0.9992330833941393,0.9992263167428781
8,macs,5915540,5915387,1.0000258647490012,0.9984683786113976,0.99845487525738
16,macs,2966420,2966267,1.0000515799825167,0.996945566351334,0.9969186787402318
32,macs,1491860,1491707,1.0001025670590806,0.993926066960754,0.9938727626198297
64,macs,754580,754427,1.0002028029219527,0.9879895007556274,0.9878847326422947
128,macs,385940,385787,1.0003965919017488,0.9765102411200415,0.9763077401627871
32,bus,2966680,2966460,1.0000741624697451,0.9968850712657937,0.9968581869176522
64,bus,2966420,2966267,1.0000515799825167,0.996945566351334,0.9969186787402318
128,bus,2966420,2966265,1.0000522542658865,0.996945566351334,0.9969186787402318
256,bus,2966420,2966264,1.0000525914079124,0.996945566351334,0.9969186787402318
512,bus,2966420,2966264,1.0000525914079124,0.996945566351334,0.9969186787402318
